benchmark_intent,model_provider,model_name,cases,passed_cases,pass_rate,mean_retrieved_sources,mean_citations,median_latency_seconds
BIOMEDICAL_RESEARCH,gemini,gemini-3.7-flash,2,2,1.0,9.5,5.0,12.747990125000797
CARE_PROGRAM_DISCOVERY,gemini,gemini-3.7-flash,1,1,1.0,0.0,0.0,3.490501416999905
CLINICAL_TRIALS,gemini,gemini-3.7-flash,1,1,1.0,0.0,0.0,3.3698596250033006
FHIR_INTEROPERABILITY,gemini,gemini-3.7-flash,2,2,1.0,6.5,4.0,10.852501770499657
HEALTH_INFORMATION,gemini,gemini-3.7-flash,1,1,1.0,7.0,5.0,11.36586958299813
PROVIDER_DISCOVERY,gemini,gemini-3.7-flash,4,4,1.0,17.75,5.0,9.553761395998663
